Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,extra_0,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,extra_1
42,Ashley Barnes,eng ENG,FW,MF,Burnley,35,1989,0.5,4.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00,,,0.00,Matches,1989,7,0,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
43,Harvey Barnes,eng ENG,FW,MF,Newcastle United,27,1997,21.8,0.05,0.00,0.00,0.78,1.06,0.14,3.39,0.14,0.23,,,0.00,Matches,1997,37,19,966,21.8,0.32,0.05,0.37,0.32,0.05,0.00,0.32,0.05,0.37,Matches
44,Thierno Barry,fr FRA,FW,Everton,22,2002,21.3,0.14,0.00,0.00,2.16,0.38,0.61,0.19,0.23,0.19,,,0.00,Matches,,38,21,1,21.3,0.38,0.00,0.38,0.38,0.00,0.00,0.38,0.00,0.38,0.38,
45,Calvin Bassey,ng NGA,DF,Fulham,25,1999,28.2,0.18,0.00,0.00,0.99,1.42,0.04,0.50,0.78,1.13,,,0.00,Matches,,30,28,2,28.2,0.04,0.00,0.04,0.04,0.00,0.00,0.04,0.00,0.04,0.04,
46,Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,,,0.00,Matches,,6,6,540,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
47,Jean-Ricner Bellegarde,ht HAI,MF,FW,Wolves,27,1998,13.9,0.36,0.00,0.00,1.44,2.95,0.00,1.80,0.65,1.08,,,0.00,Matches,1998,26,15,248,13.9,0.07,0.07,0.14,0.07,0.36,0.00,0.07,0.07,0.14,Matches
48,Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,,1,1,90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,28,1997,20.9,0.33,0.00,0.00,0.91,0.38,0.05,0.33,1.72,1.72,,,0.00,Matches,,26,23,1,20.9,0.05,0.05,0.10,0.05,0.00,0.00,0.05,0.05,0.10,0.05,
50,Daniel Bentley,eng ENG,GK,Wolves,32,1993,3.0,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,,,0.00,Matches,,3,3,270,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,
51,Sander Berge,no NOR,MF,Fulham,27,1998,32.3,0.15,0.00,0.00,1.08,0.43,0.03,0.40,0.80,1.27,,,0.03,Matches,,35,34,2,32.3,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.03,0.00,
52,Lucas Bergvall,se SWE,MF,Tottenham Hotspur,19,2006,10.7,0.19,0.00,0.00,2.24,0.65,0.28,1.78,0.28,1.31,,,0.00,Matches,,23,11,965,0.09,0.28,0.37,0.09,0.00,0.00,0.09,0.28,0.37,0.09,0.37,
53,Beto,gw GNB,FW,Everton,27,1998,17.4,0.17,0.00,0.00,1.84,0.69,0.52,0.11,0.06,0.29,,,0.00,Matches,,37,17,1,17.4,0.52,0.06,0.57,0.52,0.00,0.00,0.52,0.06,0.57,0.52,
