player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Emil Krafth,se SWE,DF,Newcastle United,30,1994,1.0,1,45,0.5,0.0,0.0,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.0,0.0,,,0.00,CB
Ladislav Krejčí,cz CZE,DF,MF,Wolves,26,1999.0,28,27,1999,356.0,26.2,0.08,26.2,0.19,0.04,1.26,0.27,0.00,0.65,1.22,0.80,,,LB
Mohammed Kudus,gh GHA,MF,FW,Tottenham Hotspur,24,2000.0,19,19,2000,535.0,17.1,0.12,17.1,0.18,0.00,1.35,0.88,0.58,7.13,0.18,0.99,,,CM
Jonah Kusi-Asare,se SWE,FW,Fulham,18,2007,7.0,0,55,0.6,0.0,0.0,0.00,1.67,0.00,6.67,3.33,0.00,0.00,0.0,1.67,,,0.00,IF
Shea Lacey,eng ENG,FW,Manchester Utd,18,2007,3.0,0,43,0.5,0.0,0.0,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.0,0.0,,,0.00,IF
Maxence Lacroix,fr FRA,DF,Crystal Palace,25,2000,35.0,35,3,34.3,34.3,0.03,0.06,0.12,0.03,0.99,0.55,0.00,0.15,1.31,1.11,,,0.00,LB
Senne Lammens,be BEL,GK,Manchester Utd,23,2002,32.0,32,2,32.0,32.0,0.0,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.0,0.03,,,0.00,GK
Jamaal Lascelles,eng ENG,DF,Newcastle United,31,1993,2.0,0,21,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,LB
Josh Laurent,eng ENG,DF,MF,Burnley,30,1995.0,33,18,1995,764.0,19.6,0.05,19.6,0.36,0.00,1.58,0.56,0.10,0.71,1.43,1.28,,,LB
Roméo Lavia,be BEL,MF,Chelsea,21,2004,12.0,4,382,4.2,0.0,0.0,0.00,0.00,0.00,1.90,1.90,0.00,0.24,1.19,1.67,,,0.00,CM
Enzo Le Fée,fr FRA,MF,FW,Sunderland,25,2000.0,36,33,2000,930.0,32.6,0.15,32.6,0.15,0.00,0.95,1.13,0.12,3.01,0.86,1.72,,,CM
Bernd Leno,de GER,GK,Fulham,33,1992,38.0,38,3,38.0,38.0,0.0,0.00,0.08,0.00,0.00,0.16,0.00,0.00,0.03,0.03,,,0.03,GK
Jefferson Lerma,co COL,MF,DF,Crystal Palace,30,1994.0,31,18,1994,733.0,19.3,0.00,19.3,0.36,0.00,1.30,1.24,0.00,0.62,1.3,0.93,,,CM
Rico Lewis,eng ENG,DF,Manchester City,20,2004,11.0,4,407,4.5,0.0,0.22,0.22,0.44,0.00,1.11,2.00,0.00,0.44,1.56,0.89,,,0.00,LB
Keane Lewis-Potter,eng ENG,DF,MF,Brentford,24,2001.0,36,22,2001,972.0,21.9,0.14,21.9,0.05,0.00,0.68,1.64,0.14,3.15,0.46,0.64,,,LB
Myles Lewis-Skelly,eng ENG,MF,DF,Arsenal,18,2006.0,20,5,2006,7.9,0.0,0.00,7.9,0.38,0.00,1.27,2.03,0.13,0.0,0.63,0.63,,,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Matthijs de Ligt,nl NED,DF,Manchester Utd,25,1999,13.0,13,1,13.0,13.0,0.08,0.00,0.00,0.00,0.46,0.38,0.00,0.31,0.85,1.0,,,0.00,LB
Pedro Lima,br BRA,MF,Wolves,19,2006,9.0,3,260,2.9,0.0,0.0,0.00,0.00,0.00,2.07,0.34,0.00,3.45,1.38,1.72,,,0.00,CM
Victor Lindelöf,se SWE,DF,MF,Aston Villa,31,1994.0,17,11,1994,10.5,0.0,0.10,10.5,0.00,0.00,0.19,0.00,0.00,0.0,0.76,0.29,,,LB
Tino Livramento,eng ENG,DF,Newcastle United,22,2002,17.0,14,1,14.8,14.8,0.0,0.07,0.07,0.00,0.47,1.08,0.14,2.43,0.14,0.95,,,0.00,CM
Sean Longstaff,eng ENG,MF,Leeds United,27,1997,23.0,10,1,11.2,11.2,0.18,0.18,0.18,0.00,1.16,1.52,0.09,4.82,1.07,2.14,,,0.00,CM
Fer López,es ESP,MF,Wolves,21,2004,9.0,2,235,2.6,0.0,0.38,0.38,0.38,0.00,2.31,1.54,0.00,1.54,0.0,0.38,,,0.00,CM
Lucas,br BRA,MF,DF,Burnley,24,2001.0,20,15,2001,409.0,15.7,0.00,15.7,0.06,0.00,0.96,0.25,0.32,3.57,1.21,1.40,,,CM
Lorenzo Lucca,it ITA,FW,Nottingham Forest,24,2000,4.0,1,129,1.4,0.71,0.0,0.71,0.00,0.00,0.71,1.43,1.43,0.00,0.71,0.0,,,0.00,IF
Florentino Luís,pt POR,MF,Burnley,25,1999,31.0,25,2,23.4,23.4,0.0,0.09,0.26,0.00,1.71,0.34,0.04,0.47,1.71,2.09,,,0.00,CM
Douglas Luiz,br BRA,MF,Aston Villa,27,1998,13.0,7,604,6.7,0.15,0.0,0.15,0.15,0.00,1.34,1.49,0.00,4.18,1.04,1.64,,,0.00,CM
Douglas Luiz,br BRA,MF,Nottingham Forest,27,1998,8.0,5,315,3.5,0.0,0.0,0.00,0.57,0.00,1.14,1.43,0.00,4.29,2.0,0.86,,,0.00,CM
Saša Lukić,rs SRB,MF,Fulham,28,1996,26.0,20,1,19.3,19.3,0.05,0.10,0.47,0.00,2.75,1.30,0.10,3.52,0.83,1.45,,,0.00,CM
Ian Maatsen,nl NED,DF,Aston Villa,23,2002,30.0,17,1,17.8,17.8,0.0,0.06,0.11,0.00,0.96,1.07,0.06,3.03,1.01,1.74,,,0.00,LB
Alexis Mac Allister,ar ARG,MF,Liverpool,26,1998,37.0,31,2,29.5,29.5,0.07,0.14,0.24,0.00,1.19,1.08,0.00,0.68,0.61,0.92,,,0.00,CM
James Maddison,eng ENG,FW,MF,Tottenham Hotspur,28,1996.0,3,0,1996,0.4,0.0,0.00,0.4,0.00,0.00,2.50,2.50,0.00,15.0,0.0,2.50,,,IF
Noni Madueke,eng ENG,FW,MF,Arsenal,23,2002.0,26,16,2002,211.0,13.5,0.22,13.5,0.00,0.00,1.11,1.11,0.30,5.93,0.37,0.74,,,IF
Gabriel Magalhães,br BRA,DF,Arsenal,27,1997,32.0,30,2,30.6,30.6,0.1,0.13,0.13,0.00,0.69,1.11,0.00,0.20,0.72,0.65,,,0.00,CB
Soungoutou Magassa,fr FRA,MF,West Ham United,21,2003,22.0,11,981,10.9,0.09,0.0,0.09,0.37,0.00,1.56,1.56,0.00,0.83,1.56,2.11,,,0.00,CM
Harry Maguire,eng ENG,DF,Manchester Utd,32,1993,23.0,19,1,18.4,18.4,0.05,0.11,0.16,0.05,0.87,0.87,0.00,0.22,0.65,0.92,,,0.00,LB
Kobbie Mainoo,eng ENG,MF,Manchester Utd,20,2005,28.0,16,1,18.5,18.5,0.05,0.11,0.11,0.00,0.65,1.19,0.05,0.70,1.03,1.08,,,0.00,CM
Tyrell Malacia,nl NED,DF,Manchester Utd,25,1999,3.0,0,18,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,5.0,,,0.00,CB
Donyell Malen,nl NED,FW,MF,Aston Villa,26,1999.0,21,5,1999,7.3,0.55,0.14,7.3,0.00,0.00,0.27,0.82,0.14,0.96,0.0,0.27,,,IF
Giorgi Mamardashvili,ge GEO,GK,Liverpool,24,2000,10.0,10,867,9.6,0.0,0.0,0.00,0.00,0.00,0.10,0.21,0.00,0.00,0.1,0.1,,,0.00,GK
Reinildo Mandava,mz MOZ,DF,Sunderland,31,1994,25.0,23,1,21.8,21.8,0.0,0.05,0.32,0.05,1.47,1.61,0.05,1.06,1.33,1.06,,,0.00,LB
Mateus Mane,pt POR,MF,Wolves,17,2007,27.0,19,1,19.9,19.9,0.15,0.05,0.00,0.00,1.31,2.36,0.10,4.72,0.25,0.65,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Bendito Mantato,eng ENG,MF,Manchester Utd,17,2008,1.0,0,16,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,0.0,,,0.00,CM
Solly March,eng ENG,MF,Brighton,31,1994,4.0,0,41,0.5,0.0,0.0,0.00,0.00,0.00,0.00,2.00,0.00,8.00,0.0,4.0,,,0.00,CM
Omar Marmoush,eg EGY,FW,MF,Manchester City,26,1999.0,21,8,1999,7.8,0.38,0.38,7.8,0.38,0.00,1.28,2.69,0.77,1.54,0.26,1.03,,,IF
Callum Marshall,nir NIR,FW,West Ham United,20,2004,2.0,0,60,0.7,0.0,0.0,0.00,0.00,0.00,0.00,0.00,1.43,0.00,2.86,0.0,,,0.00,IF
Gabriel Martinelli,br BRA,FW,MF,Arsenal,24,2001.0,30,11,2001,81.0,12.0,0.08,12.0,0.25,0.00,0.83,1.17,0.42,3.08,0.08,0.67,,,IF
Emiliano Martínez,ar ARG,GK,Aston Villa,32,1992,32.0,32,2,31.5,31.5,0.0,0.03,0.06,0.00,0.00,0.54,0.00,0.00,0.0,0.0,,,0.00,GK
Lisandro Martínez,ar ARG,DF,Manchester Utd,27,1998,18.0,13,1,13.7,13.7,0.0,0.00,0.00,0.07,0.66,0.15,0.00,0.15,0.88,0.8,,,0.07,LB
Arthur Masuaku,cd COD,DF,Sunderland,31,1993,3.0,2,126,1.4,0.0,0.0,0.00,0.71,0.00,2.14,0.00,0.00,5.71,1.43,1.43,,,0.00,CB
Pape Matar Sarr,sn SEN,MF,Tottenham Hotspur,22,2002,26.0,13,1,15.5,15.5,0.13,0.26,0.19,0.00,1.87,0.84,0.19,0.52,0.9,1.35,,,0.00,CM
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,28,1997,32.0,25,2,24.6,24.6,0.49,0.00,0.08,0.00,0.85,0.77,0.73,0.45,0.24,0.16,,,0.00,ST
Konstantinos Mavropanos,gr GRE,DF,West Ham United,27,1997,31.0,27,2,28.2,28.2,0.11,0.00,0.07,0.00,0.57,0.32,0.07,0.14,1.67,0.85,,,0.07,CB
Eliezer Mayenda,es ESP,FW,MF,Sunderland,20,2005.0,20,8,2005,8.4,0.24,0.00,8.4,0.00,0.00,0.71,1.31,0.36,0.12,0.12,0.36,,,IF
Ezra Mayers,bb BRB,DF,West Ham United,18,2007,6.0,0,117,1.3,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,2.31,0.77,0.0,,,0.00,LB
Noussair Mazraoui,ma MAR,DF,MF,Manchester Utd,27,1997.0,20,11,1997,10.9,0.0,0.00,10.9,0.28,0.00,1.10,1.28,0.00,1.19,1.01,1.38,,,LB
Bryan Mbeumo,cm CMR,MF,FW,Manchester Utd,25,1999.0,33,31,1999,609.0,29.0,0.38,29.0,0.14,0.00,0.79,0.97,0.24,3.62,0.24,0.38,,,CM
James Mcatee,eng ENG,MF,Nottingham Forest,22,2002,14.0,2,298,3.3,0.0,0.3,0.30,0.30,0.00,1.21,1.52,0.61,2.73,0.91,1.21,,,0.00,CM
John McGinn,sct SCO,MF,Aston Villa,30,1994,30.0,28,2,23.7,23.7,0.21,0.17,0.21,0.00,1.31,2.03,0.00,3.46,0.51,0.72,,,0.00,CM
Dwight McNeil,eng ENG,MF,Everton,25,1999,22.0,14,1,13.0,13.0,0.0,0.08,0.08,0.00,0.85,0.54,0.15,3.08,0.77,1.23,,,0.00,CM
Hannibal Mejbri,tn TUN,MF,Burnley,22,2003,27.0,15,1,13.7,13.7,0.07,0.29,0.73,0.00,1.68,3.36,0.22,2.19,0.51,1.24,,,0.00,CM
Mikel Merino,es ESP,MF,FW,Arsenal,29,1996.0,22,10,1996,36.0,11.5,0.35,11.5,0.09,0.00,1.91,1.74,0.26,0.35,0.78,1.13,,,CM
Shumaira Mheuka,eng ENG,FW,Chelsea,17,2007,1.0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,IF
Antoni Milambo,nl NED,MF,Brentford,20,2005,1.0,1,45,0.5,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,2.0,,,0.00,DM
Nikola Milenković,rs SRB,DF,Nottingham Forest,27,1997,38.0,37,3,37.5,37.5,0.0,0.00,0.16,0.00,0.56,0.53,0.03,0.05,0.77,0.51,,,0.03,LB
Lewis Miley,eng ENG,MF,DF,Newcastle United,19,2006.0,23,15,2006,496.0,16.6,0.06,16.6,0.00,0.00,0.30,0.24,0.12,2.53,1.2,1.08,,,CM
James Milner,eng ENG,MF,Brighton,39,1986,20.0,7,784,8.7,0.11,0.11,0.23,0.23,0.00,1.72,0.34,0.11,1.61,0.57,1.03,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Veljko Milosavljević,rs SRB,DF,Bournemouth,18,2007,7.0,4,368,4.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.98,,,0.00,LB
Tyrone Mings,eng ENG,DF,Aston Villa,32,1993,17.0,15,1,14.7,14.7,0.0,0.00,0.07,0.00,0.68,0.54,0.00,0.27,0.75,0.14,,,0.00,LB
Yankuba Minteh,gm GAM,MF,Brighton,21,2004,34.0,26,2,26.6,26.6,0.11,0.15,0.11,0.00,1.20,0.83,0.38,5.98,0.56,1.39,,,0.00,CM
Tyrick Mitchell,eng ENG,MF,Crystal Palace,25,1999,38.0,36,3,36.1,36.1,0.03,0.06,0.17,0.00,0.66,0.78,0.14,2.88,0.91,1.8,,,0.00,CM
Kaoru Mitoma,jp JPN,MF,FW,Brighton,28,1997.0,25,19,1997,721.0,19.1,0.16,19.1,0.26,0.00,1.62,1.10,0.21,2.41,0.42,0.63,,,CM
Morato,br BRA,DF,Nottingham Forest,24,2001,21.0,14,1,14.9,14.9,0.07,0.00,0.34,0.00,1.07,0.47,0.07,0.13,0.74,1.21,,,0.00,LB
Cristhian Mosquera,es ESP,DF,Arsenal,21,2004,20.0,9,994,11.0,0.0,0.0,0.00,0.36,0.00,1.55,0.64,0.09,0.27,0.73,1.91,,,0.00,LB
Yerson Mosquera,co COL,DF,Wolves,24,2001,27.0,24,2,23.7,23.7,0.0,0.00,0.51,0.00,1.43,1.86,0.04,0.76,1.05,1.52,,,0.08,LB
Mason Mount,eng ENG,MF,Manchester Utd,26,1999,23.0,12,1,11.3,11.3,0.27,0.00,0.18,0.00,1.50,1.06,0.00,1.95,0.8,1.15,,,0.00,CM
Divine Mukasa,eng ENG,MF,Manchester City,17,2007,2.0,0,27,0.3,0.0,0.0,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Nordi Mukiele,fr FRA,DF,Sunderland,27,1997,32.0,32,2,30.9,30.9,0.1,0.10,0.16,0.00,1.13,0.84,0.10,2.75,1.2,1.46,,,0.03,LB
Romaine Mundle,eng ENG,MF,Sunderland,22,2003,14.0,2,411,4.6,0.0,0.0,0.00,0.22,0.00,1.52,1.74,0.00,2.39,0.22,0.87,,,0.00,CM
Marshall Munetsi,zw ZIM,MF,FW,Wolves,29,1996.0,13,9,1996,9.7,0.1,0.10,9.7,0.21,0.00,1.96,1.03,0.41,1.44,0.52,1.34,,,CM
Rodrigo Muniz,br BRA,FW,Fulham,24,2001,21.0,10,1,11.1,11.1,0.09,0.09,0.18,0.00,1.89,1.62,0.45,0.18,0.18,0.27,,,0.09,ST
Daniel Muñoz,co COL,MF,Crystal Palace,29,1996,29.0,29,2,26.7,26.7,0.15,0.11,0.26,0.00,1.27,0.67,0.30,2.32,0.9,1.8,,,0.00,CM
Murillo,br BRA,DF,Nottingham Forest,23,2002,25.0,25,2,23.7,23.7,0.04,0.00,0.21,0.00,0.97,0.30,0.00,0.08,1.22,0.97,,,0.08,CB
Alex Murphy,ie IRL,DF,Newcastle United,21,2004,2.0,0,9,0.1,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,,,0.00,CB
Jacob Murphy,eng ENG,FW,MF,Newcastle United,30,1995.0,33,19,1995,617.0,18.0,0.17,18.0,0.11,0.00,0.50,0.72,0.28,6.94,0.33,0.67,,,IF
Vitaliy Mykolenko,ua UKR,DF,Everton,26,1999,33.0,33,2,32.9,32.9,0.0,0.03,0.18,0.00,0.88,0.85,0.00,2.83,0.82,0.76,,,0.03,LB
David Møller Wolfe,no NOR,MF,DF,Wolves,23,2002.0,22,11,2002,49.0,11.7,0.00,11.7,0.09,0.00,0.85,0.34,0.00,2.74,0.6,0.43,,,CM
Iliman Ndiaye,sn SEN,MF,Everton,25,2000,32.0,32,2,30.9,30.9,0.19,0.10,0.06,0.00,0.97,1.20,0.39,1.78,0.55,1.29,,,0.00,CM
Dan Ndoye,ch SUI,MF,Nottingham Forest,24,2000,24.0,14,1,13.0,13.0,0.08,0.08,0.08,0.00,1.23,1.69,0.69,3.15,0.77,0.85,,,0.00,CM
Sean Neave,eng ENG,FW,Newcastle United,18,2007,1.0,0,14,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,IF
Dan Neil,eng ENG,MF,Sunderland,23,2001,3.0,0,14,0.2,0.0,0.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,5.0,0.0,,,0.00,CM
Reiss Nelson,eng ENG,FW,MF,Brentford,25,1999.0,10,0,1999,1.4,0.0,0.71,1.4,0.00,0.00,0.00,1.43,0.00,1.43,0.0,2.14,,,IF
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Pedro Neto,pt POR,MF,FW,Chelsea,25,2000.0,34,30,2000,631.0,29.2,0.17,29.2,0.14,0.03,0.58,0.86,0.21,6.3,0.21,0.38,,,CM
Luca Netz,de GER,DF,MF,Nottingham Forest,22,2003.0,7,3,2003,4.0,0.0,0.00,4.0,0.00,0.00,1.25,0.50,0.00,0.5,0.25,2.00,,,LB
Rio Ngumoha,eng ENG,MF,Liverpool,16,2008,19.0,5,560,6.2,0.32,0.16,0.48,0.00,0.00,0.65,1.94,0.00,3.55,0.48,0.32,,,0.00,CM
Eddie Nketiah,eng ENG,MF,Crystal Palace,26,1999,12.0,2,424,4.7,0.43,0.0,0.43,0.43,0.00,1.49,1.49,0.64,0.00,0.43,1.28,,,0.00,CM
Lukas Nmecha,de GER,FW,Leeds United,26,1998,31.0,10,1,12.0,12.0,0.5,0.08,0.00,0.00,1.50,1.50,0.25,0.83,0.25,0.58,,,0.00,IF
Matheus Nunes,pt POR,DF,Manchester City,26,1998,34.0,32,2,31.8,31.8,0.03,0.16,0.16,0.00,0.53,0.94,0.13,2.11,0.91,1.29,,,0.00,CB
Ethan Nwaneri,eng ENG,MF,Arsenal,18,2007,6.0,0,171,1.9,0.0,0.0,0.00,0.00,0.00,1.05,0.00,0.00,1.05,0.0,0.0,,,0.00,CM
Trey Nyoni,eng ENG,MF,Liverpool,18,2007,6.0,0,24,0.3,0.0,0.0,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.0,0.0,,,0.00,CM
Christian Nørgaard,dk DEN,MF,Arsenal,31,1994,7.0,1,106,1.2,0.0,0.0,0.00,0.00,0.00,2.50,0.00,0.00,0.83,0.83,1.67,,,0.00,CM
Jake O'Brien,ie IRL,DF,Everton,24,2001,37.0,35,3,34.7,34.7,0.03,0.03,0.17,0.03,0.66,0.49,0.12,1.41,0.37,0.92,,,0.00,LB
Luke O'Nien,eng ENG,DF,Sunderland,30,1994,12.0,5,569,6.3,0.0,0.16,0.16,0.16,0.16,1.11,1.27,0.00,1.11,0.95,0.95,,,0.00,LB
Matt O'Riley,dk DEN,MF,Brighton,24,2000,6.0,2,204,2.3,0.43,0.0,0.43,0.00,0.00,0.87,0.43,0.43,2.61,0.0,0.87,,,0.00,CM
Wilson Odobert,fr FRA,MF,FW,Tottenham Hotspur,20,2004.0,24,10,2004,10.9,0.0,0.18,10.9,0.00,0.00,0.18,0.92,0.18,2.57,0.0,0.73,,,CM
Noah Okafor,ch SUI,FW,MF,Leeds United,25,2000.0,28,19,2000,561.0,17.3,0.46,17.3,0.17,0.00,1.04,0.81,0.00,2.08,0.69,0.87,,,IF
Callum Olusesi,eng ENG,MF,Tottenham Hotspur,18,2007,1.0,0,15,0.2,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,CM
Amadou Onana,be BEL,MF,Aston Villa,23,2001,25.0,21,1,19.5,19.5,0.1,0.00,0.15,0.00,1.03,1.28,0.00,0.00,0.97,1.54,,,0.00,CM
Frank Onyeka,ng NGA,MF,Brentford,27,1998,6.0,0,92,1.0,0.0,1.0,1.00,0.00,0.00,3.00,3.00,0.00,0.00,0.0,0.0,,,0.00,CM
Nehemiah Oriola,eng ENG,MF,Brighton,18,2007,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,,,0,CM
Stefan Ortega,de GER,GK,Nottingham Forest,32,1992,3.0,3,270,3.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,,,0.00,GK
William Osula,dk DEN,FW,Newcastle United,21,2003,24.0,8,819,9.1,0.77,0.0,0.77,0.00,0.00,2.64,1.76,0.22,0.33,0.11,0.55,,,0.00,IF
Dango Ouattara,bf BFA,MF,Brentford,23,2002,32.0,25,2,25.3,25.3,0.28,0.12,0.20,0.00,1.07,1.54,0.32,4.23,0.95,0.55,,,0.00,CM
Nico O’Reilly,eng ENG,DF,MF,Manchester City,20,2005.0,34,29,2005,646.0,29.4,0.17,29.4,0.17,0.00,1.53,0.61,0.03,1.29,0.68,1.22,,,LB
Pablo,br BRA,MF,FW,West Ham United,21,2004.0,14,10,2004,9.1,0.0,0.11,9.1,0.00,0.00,2.53,0.88,0.00,0.55,0.55,1.54,,,CM
João Palhinha,pt POR,MF,Tottenham Hotspur,30,1995,33.0,23,2,24.4,24.4,0.2,0.08,0.33,0.00,1.15,1.48,0.00,0.16,1.15,2.5,,,0.00,CM
Cole Palmer,eng ENG,MF,Chelsea,23,2002,26.0,24,1,21.7,21.7,0.46,0.05,0.23,0.00,0.60,1.71,0.09,1.61,0.6,0.55,,,0.00,CM
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
Lucas Paquetá,br BRA,MF,FW,West Ham United,27,1997.0,18,18,1997,511.0,16.8,0.24,16.8,0.42,0.06,1.61,1.79,0.30,2.14,0.42,1.31,,,CM
Nathan Patterson,sct SCO,DF,Everton,23,2001,7.0,3,241,2.7,0.0,0.0,0.00,0.00,0.00,0.74,0.74,0.37,2.22,0.74,1.48,,,0.00,LB
Myles Peart-Harris,eng ENG,MF,Brentford,22,2002,1.0,0,1,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,,,0,CM
Lucas Perri,br BRA,GK,Leeds United,27,1997,16.0,16,1,16.0,16.0,0.0,0.00,0.13,0.00,0.06,0.19,0.00,0.00,0.0,0.0,,,0.00,GK
Đorđe Petrović,rs SRB,GK,Bournemouth,25,1999,38.0,38,3,38.0,38.0,0.0,0.00,0.08,0.00,0.00,0.05,0.00,0.00,0.0,0.0,,,0.03,GK
Jordan Pickford,eng ENG,GK,Everton,31,1994,38.0,38,3,38.0,38.0,0.0,0.00,0.11,0.00,0.03,0.16,0.00,0.00,0.0,0.03,,,0.00,GK
Ethan Pinnock,jm JAM,DF,Brentford,32,1993,4.0,4,318,3.5,0.0,0.0,0.00,0.29,0.00,0.00,0.57,0.00,0.00,1.43,1.43,,,0.29,CB
Yeremi Pino,es ESP,MF,FW,Crystal Palace,22,2002.0,34,26,2002,80.0,23.1,0.09,23.1,0.17,0.00,1.30,1.04,0.43,3.42,0.35,0.87,,,CM
Joël Piroe,sr SUR,FW,Leeds United,25,1999,16.0,2,258,2.9,0.0,0.0,0.00,0.00,0.00,1.38,0.00,0.34,1.38,0.34,0.34,,,0.00,IF
Nick Pope,eng ENG,GK,Newcastle United,33,1992,27.0,27,2,26.8,26.8,0.0,0.00,0.07,0.00,0.04,0.07,0.00,0.00,0.0,0.04,,,0.00,GK
Pedro Porro,es ESP,DF,Tottenham Hotspur,25,1999,34.0,32,2,31.1,31.1,0.03,0.06,0.32,0.00,1.03,0.84,0.03,7.46,1.0,1.61,,,0.00,CB
Freddie Potts,eng ENG,MF,West Ham United,21,2003,22.0,12,1,13.0,13.0,0.0,0.08,0.08,0.00,1.15,1.08,0.00,2.62,1.23,1.38,,,0.00,CM
Aaron Ramsdale,eng ENG,GK,Newcastle United,27,1998,12.0,11,1,11.2,11.2,0.0,0.00,0.18,0.00,0.00,0.09,0.00,0.00,0.0,0.0,,,0.00,GK
Jacob Ramsey,eng ENG,MF,Newcastle United,24,2001,28.0,15,1,16.1,16.1,0.12,0.19,0.31,0.06,0.99,0.87,0.12,0.50,0.56,1.3,,,0.00,CM
David Raya,es ESP,GK,Arsenal,29,1995,37.0,37,3,37.0,37.0,0.0,0.00,0.03,0.00,0.00,0.38,0.00,0.03,0.03,0.03,,,0.00,GK
Rayan,br BRA,MF,Bournemouth,18,2006,15.0,13,1,12.3,12.3,0.41,0.16,0.08,0.00,0.73,0.49,0.08,1.95,0.65,0.49,,,0.00,CM
Harrison Reed,eng ENG,MF,Fulham,30,1995,7.0,1,94,1.0,1.0,0.0,1.00,0.00,0.00,2.00,1.00,0.00,4.00,0.0,0.0,,,0.00,CM
Tijjani Reijnders,nl NED,MF,Manchester City,27,1998,28.0,19,1,18.1,18.1,0.28,0.11,0.11,0.00,1.05,0.83,0.22,2.38,0.61,0.22,,,0.00,CM
Chadi Riad,ma MAR,DF,Crystal Palace,22,2003,9.0,6,552,6.1,0.0,0.16,0.16,0.33,0.00,0.82,0.49,0.00,0.98,0.66,0.82,,,0.00,LB
Declan Rice,eng ENG,MF,Arsenal,26,1999,36.0,35,3,34.4,34.4,0.12,0.15,0.09,0.00,0.76,0.32,0.03,5.15,0.96,0.96,,,0.00,CM
Chris Richards,us USA,DF,Crystal Palace,25,2000,33.0,31,2,31.4,31.4,0.03,0.00,0.13,0.00,0.54,0.16,0.00,0.45,1.37,1.11,,,0.00,LB
Richarlison,br BRA,FW,MF,Tottenham Hotspur,28,1997.0,32,20,1997,964.0,21.8,0.50,21.8,0.23,0.00,1.06,1.51,0.46,0.83,0.32,0.73,,,ST
Chris Rigg,eng ENG,MF,Sunderland,18,2007,18.0,11,761,8.5,0.12,0.12,0.24,0.12,0.00,0.94,0.94,0.24,1.29,0.47,0.94,,,0.00,CM
Patrick Roberts,eng ENG,FW,MF,Sunderland,28,1997.0,1,0,1997,0.3,0.0,0.00,0.3,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,,,IF
Andrew Robertson,sct SCO,DF,Liverpool,31,1994,24.0,11,1,13.1,13.1,0.08,0.00,0.00,0.00,0.31,0.08,0.38,4.05,0.53,0.76,,,0.00,LB
Player,Nation,Pos,Squad,Age,Born,0.0,Starts,Min,90s,0.0,0.0,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,0.0,0.0,PKwon,PKcon,OG,CM
