player_name,Nation,Pos,Squad,Age,Born,Appearances,Starts,Min,90s,Goals,Assists,G+A,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,position
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35.0,30,2,30.2,30.2,0.46,0.03,0.10,0.00,1.49,1.23,0.86,0.30,0.17,0.13,,,0.00,ST
Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20.0,14,1,14.8,14.8,0.0,0.00,0.20,0.00,0.81,0.47,0.00,0.34,0.81,1.49,,,0.00,LB
Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1.0,1,90,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.0,1.0,,,0.00,CM
Fabio Carvalho,pt POR,MF,Brentford,22,2002,6.0,1,102,1.1,0.91,0.0,0.91,0.00,0.00,0.00,0.00,0.00,4.55,0.0,1.82,,,0.00,CM
Casemiro,br BRA,MF,Manchester Utd,33,1992,34.0,33,2,28.6,28.6,0.31,0.07,0.38,0.03,1.61,1.26,0.17,0.66,1.05,1.57,,,0.00,CM
Matty Cash,pl POL,DF,Aston Villa,27,1997,35.0,34,3,33.5,33.5,0.09,0.09,0.27,0.00,1.25,0.90,0.12,3.91,0.72,0.96,,,0.00,CB
Timothy Castagne,be BEL,DF,MF,Fulham,29,1995.0,30,20,1995,845.0,20.5,0.00,20.5,0.20,0.00,0.88,0.54,0.05,2.34,1.37,1.17,,,CB
Valentín Castellanos,ar ARG,FW,West Ham United,26,1998,18.0,17,1,15.4,15.4,0.39,0.00,0.39,0.00,2.08,1.04,0.58,0.58,0.39,0.58,,,0.00,ST
Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34.0,31,2,30.9,30.9,0.1,0.00,0.10,0.03,0.65,0.58,0.06,0.16,1.2,0.71,,,0.00,CB
Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33.0,19,1,19.8,19.8,0.2,0.61,0.05,0.00,0.91,1.72,0.05,4.04,0.35,0.81,,,0.00,CM
Federico Chiesa,it ITA,MF,Liverpool,27,1997,26.0,1,339,3.8,0.53,0.26,0.79,0.79,0.00,2.89,1.84,0.53,4.47,1.05,1.32,,,0.00,CM
Tawanda Chirewa,zw ZIM,MF,Wolves,21,2003,2.0,0,27,0.3,0.0,0.0,0.00,0.00,0.00,10.0,3.33,0.00,0.00,0.0,0.0,,,0.00,CM
Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26.0,9,993,11.0,0.18,0.0,0.18,0.27,0.09,1.45,2.00,0.09,1.55,1.0,1.82,,,0.00,CM
Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23.0,10,1,12.0,12.0,0.25,0.33,0.00,0.00,0.42,1.00,0.25,3.58,0.5,0.33,,,0.00,CM
Dennis Cirkin,lv LVA,DF,Sunderland,23,2002,8.0,3,323,3.6,0.0,0.0,0.00,0.56,0.00,1.11,0.56,0.00,0.83,1.39,1.39,,,0.00,LB
Nathaniel Clyne,eng ENG,MF,DF,Crystal Palace,34,1991.0,10,7,1991,6.6,0.0,0.15,6.6,0.15,0.00,0.61,0.30,0.00,2.27,1.06,1.36,,,CM
Séamus Coleman,ie IRL,DF,Everton,36,1988,5.0,1,21,0.2,0.0,0.0,0.00,0.00,0.00,0.00,5.00,0.00,15.0,0.0,0.0,,,0.00,CB
